"SubjNum","voto_sen_candidato_1","voto_sen_candidato_2","voto_sen_candidato_3","voto_sen_candidato_4","voto_sen_candidato_5","voto_sen_candidato_6","voto_sen_candidato_7","voto_sen_candidato_8","voto_sen_candidato_9","ident_partido","sexo","edad","si_voto","geometry","seccion","tipo_casilla"
1,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Hombre",21,"Sí","c(-115.37893| 32.6481)",398,"C1"
2,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",68,"Sí","c(-115.37893| 32.6481)",398,"C1"
3,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",54,"Sí","c(-115.37893| 32.6481)",398,"C1"
4,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,"Julieta Ramírez y Armando Ayala de Morena","Julieta Ramírez y Armando Ayala de Morena",NA,"MORENA","Hombre",18,"Sí","c(-115.37893| 32.6481)",398,"C1"
5,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,"PAN - Partido Acción Nacional","Hombre",93,"Sí","c(-115.37893| 32.6481)",398,"C1"
6,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"MORENA","Mujer",81,"Sí","c(-115.37893| 32.6481)",398,"C1"
7,"No respondió",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",51,"Sí","c(-115.37893| 32.6481)",398,"C1"
8,"Gustavo Sánchez y Guadalupe Gutiérrez del PRI",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Mujer",67,"Sí","c(-115.37893| 32.6481)",398,"C1"
9,"Gustavo Sánchez y Guadalupe Gutiérrez del PAN",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",38,"Sí","c(-115.37893| 32.6481)",398,"C1"
10,"Julieta Ramírez y Armando Ayala de Morena",NA,NA,NA,NA,NA,NA,NA,NA,"PAN - Partido Acción Nacional","Hombre",45,"Sí","c(-115.37893| 32.6481)",398,"C1"
